Series ID,Year,Period,Label,Value
CUSR0000SAF1,2019,M01,2019 Jan,256.301
CUSR0000SAF1,2019,M02,2019 Feb,257.172
CUSR0000SAF1,2019,M03,2019 Mar,257.593
CUSR0000SAF1,2019,M04,2019 Apr,257.349
CUSR0000SAF1,2019,M05,2019 May,257.869
CUSR0000SAF1,2019,M06,2019 Jun,257.982
CUSR0000SAF1,2019,M07,2019 Jul,258.217
CUSR0000SAF1,2019,M08,2019 Aug,258.385
CUSR0000SAF1,2019,M09,2019 Sep,259.037
CUSR0000SAF1,2019,M10,2019 Oct,259.571
CUSR0000SAF1,2019,M11,2019 Nov,260.042
CUSR0000SAF1,2019,M12,2019 Dec,260.393
CUSR0000SAF1,2020,M01,2020 Jan,260.987
CUSR0000SAF1,2020,M02,2020 Feb,261.832
CUSR0000SAF1,2020,M03,2020 Mar,262.530
CUSR0000SAF1,2020,M04,2020 Apr,266.322
CUSR0000SAF1,2020,M05,2020 May,268.093
CUSR0000SAF1,2020,M06,2020 Jun,269.543
CUSR0000SAF1,2020,M07,2020 Jul,268.734
CUSR0000SAF1,2020,M08,2020 Aug,269.044
CUSR0000SAF1,2020,M09,2020 Sep,269.325
CUSR0000SAF1,2020,M10,2020 Oct,269.833
CUSR0000SAF1,2020,M11,2020 Nov,269.746
CUSR0000SAF1,2020,M12,2020 Dec,270.656
CUSR0000SAF1,2021,M01,2021 Jan,270.880
CUSR0000SAF1,2021,M02,2021 Feb,271.327
CUSR0000SAF1,2021,M03,2021 Mar,271.632
CUSR0000SAF1,2021,M04,2021 Apr,272.658
CUSR0000SAF1,2021,M05,2021 May,273.866
CUSR0000SAF1,2021,M06,2021 Jun,275.993
CUSR0000SAF1,2021,M07,2021 Jul,277.985
CUSR0000SAF1,2021,M08,2021 Aug,279.084
CUSR0000SAF1,2021,M09,2021 Sep,281.668
CUSR0000SAF1,2021,M10,2021 Oct,284.225
CUSR0000SAF1,2021,M11,2021 Nov,286.245
