Year,Month,Inflation
2021,Jan,1.40%
2020,Jan,2.49%
2019,Jan,1.55%
2018,Jan,2.07%
2017,Jan,2.50%
2016,Jan,1.37%
2015,Jan,-0.09%
2014,Jan,1.58%
2013,Jan,1.60%
2012,Jan,2.93%
2011,Jan,1.63%
2010,Jan,2.63%
2009,Jan,0.03%
2008,Jan,4.28%
2007,Jan,2.08%
2006,Jan,3.99%
2005,Jan,2.97%
2004,Jan,1.93%
2003,Jan,2.60%
2002,Jan,1.14%
2001,Jan,3.73%
2000,Jan,2.74%
2021,Feb,1.68%
2020,Feb,2.34%
2019,Feb,1.52%
2018,Feb,2.21%
2017,Feb,2.74%
2016,Feb,1.02%
2015,Feb,-0.03%
2014,Feb,1.13%
2013,Feb,1.98%
2012,Feb,2.87%
2011,Feb,2.11%
2010,Feb,2.14%
2009,Feb,0.24%
2008,Feb,4.03%
2007,Feb,2.42%
2006,Feb,3.60%
2005,Feb,3.01%
2004,Feb,1.69%
2003,Feb,2.98%
2002,Feb,1.14%
2001,Feb,3.53%
2000,Feb,3.22%
2021,Mar,2.62%
2020,Mar,1.54%
2019,Mar,1.86%
2018,Mar,2.36%
2017,Mar,2.38%
2016,Mar,0.85%
2015,Mar,-0.07%
2014,Mar,1.51%
2013,Mar,1.47%
2012,Mar,2.65%
2011,Mar,2.68%
2010,Mar,2.31%
2009,Mar,-0.38%
2008,Mar,3.98%
2007,Mar,2.78%
2006,Mar,3.36%
2005,Mar,3.15%
2004,Mar,1.74%
2003,Mar,3.02%
2002,Mar,1.48%
2001,Mar,2.92%
2000,Mar,3.76%
2021,Apr,4.16%
2020,Apr,0.33%
2019,Apr,2.00%
2018,Apr,2.46%
2017,Apr,2.20%
2016,Apr,1.13%
2015,Apr,-0.20%
2014,Apr,1.95%
2013,Apr,1.06%
2012,Apr,2.30%
2011,Apr,3.16%
2010,Apr,2.24%
2009,Apr,-0.74%
2008,Apr,3.94%
2007,Apr,2.57%
2006,Apr,3.55%
2005,Apr,3.51%
2004,Apr,2.29%
2003,Apr,2.23%
2002,Apr,1.64%
2001,Apr,3.27%
2000,Apr,3.07%
2021,May,4.99%
2020,May,0.12%
2019,May,1.79%
2018,May,2.80%
2017,May,1.87%
2016,May,1.02%
2015,May,-0.04%
2014,May,2.13%
2013,May,1.36%
2012,May,1.70%
2011,May,3.57%
2010,May,2.02%
2009,May,-1.28%
2008,May,4.18%
2007,May,2.69%
2006,May,4.17%
2005,May,2.80%
2004,May,3.05%
2003,May,2.06%
2002,May,1.18%
2001,May,3.62%
2000,May,3.19%
2021,June,5.39%
2020,June,0.65%
2019,June,1.65%
2018,June,2.87%
2017,June,1.63%
2016,June,1.01%
2015,June,0.12%
2014,June,2.07%
2013,June,1.75%
2012,June,1.66%
2011,June,3.56%
2010,June,1.05%
2009,June,-1.43%
2008,June,5.02%
2007,June,2.69%
2006,June,4.32%
2005,June,2.53%
2004,June,3.27%
2003,June,2.11%
2002,June,1.07%
2001,June,3.25%
2000,June,3.73%
2021,July,5.37%
2020,July,0.99%
2019,July,1.81%
2018,July,2.95%
2017,July,1.72%
2016,July,0.84%
2015,July,0.17%
2014,July,1.99%
2013,July,1.96%
2012,July,1.41%
2011,July,3.63%
2010,July,1.24%
2009,July,-2.10%
2008,July,5.60%
2007,July,2.36%
2006,July,4.15%
2005,July,3.17%
2004,July,2.99%
2003,July,2.11%
2002,July,1.47%
2001,July,2.72%
2000,July,3.66%
2021,Aug,5.25%
2020,Aug,1.31%
2019,Aug,1.75%
2018,Aug,2.70%
2017,Aug,1.94%
2016,Aug,1.06%
2015,Aug,0.20%
2014,Aug,1.70%
2013,Aug,1.52%
2012,Aug,1.69%
2011,Aug,3.77%
2010,Aug,1.15%
2009,Aug,-1.48%
2008,Aug,5.37%
2007,Aug,1.97%
2006,Aug,3.82%
2005,Aug,3.64%
2004,Aug,2.65%
2003,Aug,2.16%
2002,Aug,1.80%
2001,Aug,2.72%
2000,Aug,3.41%
2021,Sept,5.39%
2020,Sept,1.37%
2019,Sept,1.71%
2018,Sept,2.28%
2017,Sept,2.23%
2016,Sept,1.46%
2015,Sept,-0.04%
2014,Sept,1.66%
2013,Sept,1.19%
2012,Sept,1.99%
2011,Sept,3.87%
2010,Sept,1.14%
2009,Sept,-1.29%
2008,Sept,4.94%
2007,Sept,2.76%
2006,Sept,2.06%
2005,Sept,4.69%
2004,Sept,2.54%
2003,Sept,2.32%
2002,Sept,1.51%
2001,Sept,2.65%
2000,Sept,3.45%
2021,Oct,6.22%
2020,Oct,1.18%
2019,Oct,1.76%
2018,Oct,2.52%
2017,Oct,2.04%
2016,Oct,1.64%
2015,Oct,0.17%
2014,Oct,1.66%
2013,Oct,0.96%
2012,Oct,2.16%
2011,Oct,3.53%
2010,Oct,1.17%
2009,Oct,-0.18%
2008,Oct,3.66%
2007,Oct,3.54%
2006,Oct,1.31%
2005,Oct,4.35%
2004,Oct,3.19%
2003,Oct,2.04%
2002,Oct,2.03%
2001,Oct,2.13%
2000,Oct,3.45%
2021,Nov,6.81%
2020,Nov,1.18%
2019,Nov,2.05%
2018,Nov,2.18%
2017,Nov,2.20%
2016,Nov,1.69%
2015,Nov,0.50%
2014,Nov,1.32%
2013,Nov,1.24%
2012,Nov,1.76%
2011,Nov,3.39%
2010,Nov,1.14%
2009,Nov,1.84%
2008,Nov,1.07%
2007,Nov,4.31%
2006,Nov,1.97%
2005,Nov,3.46%
2004,Nov,3.52%
2003,Nov,1.77%
2002,Nov,2.20%
2001,Nov,1.90%
2000,Nov,3.45%
2021,Dec,7.10%
2020,Dec,1.36%
2019,Dec,2.29%
2018,Dec,1.91%
2017,Dec,2.11%
2016,Dec,2.08%
2015,Dec,0.73%
2014,Dec,0.76%
2013,Dec,1.50%
2012,Dec,1.74%
2011,Dec,2.96%
2010,Dec,1.50%
2009,Dec,2.72%
2008,Dec,0.09%
2007,Dec,4.08%
2006,Dec,2.54%
2005,Dec,3.42%
2004,Dec,3.26%
2003,Dec,1.88%
2002,Dec,2.38%
2001,Dec,1.55%
2000,Dec,3.39%
