Reference period,Food_CA,Shelter_CA,Food_US,Shleter_US
Jan-19,148.7,143,256.301,312.939
Feb-19,149.3,143.4,257.172,313.923
Mar-19,149.4,143.8,257.593,315.038
Apr-19,149,144.1,257.349,316.241
May-19,149.7,144.2,257.869,317.031
Jun-19,150.7,144,257.982,318.028
Jul-19,151.6,144.3,258.217,318.789
Aug-19,151.1,144.6,258.385,319.37
Sep-19,150.2,144.8,259.037,320.421
Oct-19,149.9,145.7,259.571,320.843
Nov-19,151.1,145.9,260.042,321.66
Dec-19,151.9,146.3,260.393,322.29
Jan-20,153.5,146.4,260.987,323.322
Feb-20,152.9,146.7,261.832,324.294
Mar-20,152.8,146.5,262.53,324.5
Apr-20,154,146,266.322,324.515
May-20,154.3,145.6,268.093,325.156
Jun-20,154.8,146.4,269.543,325.605
Jul-20,155,146.4,268.734,326.264
Aug-20,153.8,146.8,269.044,326.696
Sep-20,152.6,147.3,269.325,326.969
Oct-20,153.3,148.3,269.833,327.36
Nov-20,153.9,148.7,269.746,327.805
Dec-20,153.6,148.7,270.656,328.21
Jan-21,155,148.4,270.88,328.483
Feb-21,155.6,148.8,271.327,329.028
Mar-21,155.5,150,271.632,330.019
Apr-21,155.4,150.7,272.658,331.339
May-21,156.6,151.7,273.866,332.315
Jun-21,156.8,152.8,275.993,333.945
Jul-21,157.6,153.5,277.985,335.381
Aug-21,158,153.9,279.084,335.921
Sep-21,158.5,154.4,281.668,337.274
Oct-21,159.2,155.4,284.225,338.813
Nov-21,160.7,155.9,286.245,340.516
