Year,Month,Inflation
2021,Jan,1.9
2021,Feb,1.9
2021,Mar,2
2021,Apr,2.2
2021,May,2.4
2021,June,2.4
2021,July,2.6
2021,Aug,2.7
2021,Sept,2.9
2021,Oct,2.8
2021,Nov,2.8
2021,Dec,
2020,Jan,1.9
2020,Feb,1.9
2020,Mar,1.8
2020,Apr,1.9
2020,May,1.8
2020,June,1.9
2020,July,1.8
2020,Aug,1.9
2020,Sept,1.9
2020,Oct,2
2020,Nov,2
2020,Dec,1.9
2019,Jan,1.8
2019,Feb,1.9
2019,Mar,2
2019,Apr,1.8
2019,May,1.9
2019,June,1.8
2019,July,1.8
2019,Aug,1.8
2019,Sept,1.8
2019,Oct,1.8
2019,Nov,1.9
2019,Dec,1.9
